device_id,timestamp,screen_status,bright_level,bright_mode,screen_on_time,bluetooth,gps_status,gps_activity,saving_mode,nfc,flashlight,airplane_mode,fingerprint,orientation,battery_level,battery_health,battery_charging_status,battery_connection_status,battery_temperature,battery_current,battery_voltage,battery_power,network_mode,mobile_mode,mobile_status,mobile_roaming,mobile_rx,mobile_tx,wifi_status,wifi_intensity,wifi_speed,wifi_ap,wifi_rx,wifi_tx,network_operator,sim_operator,mcc,mnc,ring_mode,sound_level,playback_status,ram_usage,ram_free,rom_usage,rom_free,cpu_usage,cpu_temperature,up_time,sleep_time,frequency_core0,frequency_core1,frequency_core2,frequency_core3,frequency_core4,frequency_core5,frequency_core6,frequency_core7,foreground_app
10270b8780270b80,10-11-2022 11:41:33,1,19,0,1,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,0.097961,3.872,0.379304992,1,0,0,0,0,0,1,-68,39,0,57,39,Vivo,Vivo,724,11,0,0,0,4157698048,1760247808,89887117312,26032414720,84,37.0,2716676,850439,1497.6,1497.6,1497.6,1497.6,1497.6,1497.6,2304.0,2304.0,1
10270b8780270b80,10-11-2022 11:41:34,1,19,0,2,0,3,1,0,0,0,0,0,1,52,2,2,2,34.8,-0.074768,3.881,-0.290174608,1,0,0,0,0,0,1,-68,39,0,21,39,Vivo,Vivo,724,11,0,0,0,4164808704,1753137152,89887174656,26032357376,78,37.0,2716677,850439,1497.6,1497.6,1497.6,1497.6,1497.6,1497.6,2304.0,2304.0,1
10270b8780270b80,10-11-2022 11:41:35,1,19,0,3,0,3,1,0,0,0,0,0,1,52,2,2,2,34.8,-0.31372,3.881,-1.21754732,1,0,0,0,0,0,1,-68,39,0,21,39,Vivo,Vivo,724,11,0,0,0,4169719808,1748226048,89887174656,26032357376,90,37.0,2716678,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,1939.2,1939.2,1
10270b8780270b80,10-11-2022 11:41:36,1,19,0,4,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,-0.300598,3.863,-1.161210074,1,0,0,0,0,0,1,-68,39,0,21,39,Vivo,Vivo,724,11,0,0,0,4149125120,1768726528,89887186944,26032345088,83,37.0,2716679,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,1555.2,1324.8,1
10270b8780270b80,10-11-2022 11:41:37,1,19,0,5,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,-0.085144,3.863,-0.328911272,1,0,0,0,0,0,1,-65,39,0,52,39,Vivo,Vivo,724,11,0,0,0,4112523264,1805422592,89887199232,26032332800,62,37.0,2716680,850439,1324.8,1324.8,1324.8,1324.8,1324.8,1324.8,1555.2,1555.2,1
10270b8780270b80,10-11-2022 11:41:38,1,19,0,6,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,0.211181,3.863,0.815792203,1,0,0,0,0,0,1,-65,39,0,52,39,Vivo,Vivo,724,11,0,0,0,4068745216,1849196544,89887199232,26032332800,87,37.0,2716681,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,1094.4,1094.4,1
10270b8780270b80,10-11-2022 11:41:39,1,19,0,7,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,0.047607,3.863,0.183905841,1,0,0,0,0,0,1,-65,39,0,52,39,Vivo,Vivo,724,11,0,0,0,4006072320,1911877632,89887199232,26032332800,87,37.0,2716682,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,1324.8,1324.8,1
10270b8780270b80,10-11-2022 11:41:40,1,19,0,8,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,0.179443,3.863,0.693188309,1,0,0,0,0,0,1,-66,39,0,57,39,Vivo,Vivo,724,11,0,0,0,3976081408,1941864448,89887191040,26032340992,54,37.0,2716683,850439,1017.6,1017.6,1017.6,1017.6,1017.6,1017.6,1708.8,1708.8,1
10270b8780270b80,10-11-2022 11:41:41,1,19,0,9,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,0.255737,3.863,0.987912031,1,0,0,0,0,0,1,-66,39,0,57,39,Vivo,Vivo,724,11,0,0,0,3980705792,1937240064,89887191040,26032340992,63,37.0,2716684,850439,1017.6,1017.6,1017.6,1017.6,1017.6,1017.6,1843.2,1843.2,1
10270b8780270b80,10-11-2022 11:41:42,1,19,0,10,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,-0.214843,3.863,-0.829938509,1,0,0,0,0,0,1,-66,39,0,57,39,Vivo,Vivo,724,11,0,0,0,3961982976,1955962880,89887195136,26032336896,100,37.0,2716685,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,2169.6,2169.6,1
10270b8780270b80,10-11-2022 11:41:43,1,19,0,11,0,3,1,0,0,0,0,0,1,52,2,2,2,34.7,-0.080261,3.863,-0.310048243,1,0,0,0,0,0,1,-65,58,0,57,58,Vivo,Vivo,724,11,0,0,0,3935698944,1982246912,89887199232,26032332800,64,37.0,2716686,850439,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1324.8,1324.8,1
10270b8780270b80,10-11-2022 11:41:44,1,19,0,12,0,3,1,0,0,0,0,0,1,52,2,2,2,34.8,0.067749,3.9,0.2642211,1,0,0,0,0,0,1,-65,58,0,57,58,Vivo,Vivo,724,11,0,0,0,3931947008,1985982464,89887207424,26032324608,98,37.0,2716687,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,2169.6,2169.6,1
10270b8780270b80,10-11-2022 11:41:45,1,19,0,13,0,3,1,0,0,0,0,0,1,52,2,2,2,34.8,-0.20874,3.9,-0.814086,1,0,0,0,0,0,1,-65,58,0,57,58,Vivo,Vivo,724,11,0,0,0,3989266432,1928679424,89887207424,26032324608,95,37.0,2716688,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,2304.0,2304.0,1
10270b8780270b80,10-11-2022 11:41:46,1,19,0,14,0,3,1,0,0,0,0,0,1,52,2,2,2,34.8,0.181579,3.892,0.706705468,1,0,0,0,0,0,1,-66,58,0,57,58,Vivo,Vivo,724,11,0,0,0,3998949376,1918996480,89891418112,26028113920,98,37.0,2716689,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,1555.2,1555.2,1
10270b8780270b80,10-11-2022 11:41:47,1,19,0,15,0,3,1,0,0,0,0,0,1,52,2,2,2,34.8,0.13153,3.892,0.51191476,1,0,0,0,0,0,1,-66,58,0,57,58,Vivo,Vivo,724,11,0,0,0,4016660480,1901285376,89891418112,26028113920,81,37.0,2716690,850439,1804.8,1804.8,1804.8,1804.8,1804.8,1804.8,1939.2,1939.2,1
